Place Name,Room Type,Accommodates,Price,Rating,Num_Reviews,First Review,Last Review,Availability,Instant Book,Neighborhood ID,District,Neighborhood,Host ID,Host Name,Email,Date Joined,Host Location,Response Time,Response Rate,Acceptance Rate,Superhost,Listing Age (days),Days Since Last Review,Host Tenure (years)
Sunny room+Pvte office in huge loft,Private room,2,45.0,4.33,30,2012-06-01,2019-11-10,345,False,8,Brooklyn,Bushwick,343,Alyssa B. Jones,alyssaj@hotmail.com,2011-08-12,"Malibu, California, United States",A few days or more,43.0,32.0,False,2861,143,8.6
"Williamsburgâ€”Steps To Subway, Private Bath&Balcony",Private room,2,112.0,4.9,352,2010-06-01,2020-03-12,58,False,12,Brooklyn,Williamsburg,76,Ethel D. Rana,ethelrana@outlook.com,2010-03-22,"Beacon, New York, United States",Within an hour,100.0,100.0,True,3592,20,10.0
"1,800 sq foot in luxury building",Private room,2,82.0,4.89,190,2010-11-02,2020-01-01,364,False,16,Manhattan,Harlem,80,Marilyn K. Lim,marilynl78@gmail.com,2010-04-12,"New York, New York, United States",Within an hour,100.0,100.0,False,3438,91,10.0
"Times Square, Safe, Clean and Cozy!",Private room,1,59.0,4.65,374,2010-05-16,2020-02-27,340,False,17,Manhattan,Hell's Kitchen,49,Kyle P. Mcintyre,kylepmcintyre61@outlook.com,2009-12-03,"New York, New York, United States",Within a few hours,100.0,93.0,False,3608,34,10.3
2 story family home in Williamsburg,Entire place,6,350.0,4.97,342,2010-09-08,2020-01-03,88,True,12,Brooklyn,Williamsburg,87,Eugene H. Rock,eugener44@gmail.com,2010-04-29,"New York, New York, United States",Within an hour,100.0,100.0,True,3493,89,9.9
Sugar Hill Rest Stop,Entire place,6,170.0,4.89,209,2011-08-23,2019-12-15,356,False,16,Manhattan,Harlem,92,Gail P. Guerra,gailpguerra@gmail.com,2010-05-06,"New York, New York, United States",Within an hour,100.0,93.0,True,3144,108,9.9
apartment next to Central park,Entire place,2,170.0,4.8,20,2010-08-18,2020-01-02,271,True,20,Manhattan,Upper West Side,93,Cynthia J. Solis,cynthias@yahoo.com,2010-05-07,"New York, New York, United States",Within a few hours,100.0,100.0,False,3514,90,9.9
East Village Sanctuary,Entire place,2,125.0,5.0,32,2016-10-03,2020-06-06,0,False,15,Manhattan,East Village,2665,Sandra J. Sinha,sandrajsinha@outlook.com,2016-02-02,"New York, New York, United States",Within a day,100.0,83.0,True,1276,-66,4.2
Garden studio in the Upper East Sid,Entire place,4,150.0,5.0,21,2010-06-01,2017-08-15,228,False,19,Manhattan,Upper East Side,94,Debra P. Dunn,debrapdunn@hotmail.com,2010-05-13,"New York, New York, United States",Within a day,100.0,0.0,False,3592,960,9.9
B & B Room 1,Private room,2,70.0,4.52,64,2010-08-03,2020-01-30,365,False,7,Brooklyn,Bedford-Stuyvesant,31,Kenneth D. Khan,kennethkhan@hotmail.com,2009-09-03,"New York, New York, United States",Within an hour,100.0,70.0,False,3529,62,10.6
Accommodations  Just For You #1,Entire place,4,104.0,4.66,169,2010-07-16,2020-08-01,284,False,16,Manhattan,Harlem,97,Margaret D. Gould,mdgould19@gmail.com,2010-05-17,"New York, New York, United States",Within an hour,74.0,92.0,False,3547,-122,9.9
Stylish & Sleek Apartment Near SoHo!,Entire place,3,105.0,4.9,105,2010-05-26,2020-07-31,329,False,15,Manhattan,East Village,96,Herman D. Angel,hermandangel@yahoo.com,2010-05-16,"New York, New York, United States",Within a few hours,100.0,70.0,False,3598,-121,9.9
Most Central Location!,Private room,2,134.0,4.98,66,2010-06-21,2020-06-02,1,False,17,Manhattan,Hell's Kitchen,89,Norma F. Wood,normafwood66@outlook.com,2010-05-02,"New York, New York, United States",Within an hour,100.0,77.0,True,3572,-62,9.9
Flat Macdonough,Entire place,4,125.0,4.88,263,2010-08-04,2020-03-16,131,True,7,Brooklyn,Bedford-Stuyvesant,102,Alice L. Henderson,alicehenderson@gmail.com,2010-06-03,"Brooklyn, New York, United States",Within a day,78.0,98.0,False,3528,16,9.8
FLAT MACDONOUGH GARDEN,Entire place,6,115.0,4.8,141,2013-08-01,2020-02-17,126,True,7,Brooklyn,Bedford-Stuyvesant,102,Alice L. Henderson,alicehenderson@gmail.com,2010-06-03,"Brooklyn, New York, United States",Within a day,78.0,98.0,False,2435,44,9.8
Retreat in Williamsburg,Entire place,2,215.0,4.99,252,2010-07-05,2020-02-19,304,False,12,Brooklyn,Williamsburg,103,Charles B. Berger,charlesberger83@yahoo.com,2010-06-12,"New York, New York, United States",Within a few hours,100.0,96.0,True,3558,42,9.8
NYC Zen,Entire place,3,125.0,4.41,34,2010-09-07,2019-08-15,272,False,15,Manhattan,East Village,104,Irene F. Manalo,irenem@gmail.com,2010-06-12,"New York, New York, United States",Within a day,50.0,0.0,False,3494,230,9.8
"Sunny, Clean Zen Home w pr.Bath",Entire place,2,150.0,5.0,19,2011-05-29,2016-07-07,306,False,20,Manhattan,Upper West Side,99,Brittany K. Campos,brittanykcampos3@yahoo.com,2010-05-20,"New York, New York, United States",Within an hour,100.0,100.0,False,3230,1364,9.9
Light and Airy Upper East Side 1 BDR apartment,Entire place,2,199.0,4.89,133,2010-08-05,2019-12-16,344,False,19,Manhattan,Upper East Side,74,Alice I. Anthony,aliceianthony@gmail.com,2010-03-14,"San Miguel de Allende, Guanajuato, Mexico",Within a few hours,100.0,100.0,True,3527,107,10.1
CENTRAL PARK LOFT all for YOU,Entire place,4,99.0,4.38,261,2012-02-16,2020-03-14,267,False,19,Manhattan,Upper East Side,111,Jennifer J. Tran,jenniferjtran33@outlook.com,2010-07-16,"New York, New York, United States",Within a few hours,100.0,59.0,False,2967,18,9.7
â€œWork-from-homeâ€ from OUR home.,Private room,2,50.0,4.9,219,2010-08-02,2020-07-16,60,False,12,Brooklyn,Williamsburg,112,Christine I. Brady,christinebrady@hotmail.com,2010-07-16,"New York, New York, United States",Within an hour,100.0,98.0,False,3530,-106,9.7
Hudson view & near Central Park elegant room,Private room,2,123.0,4.58,181,2010-10-22,2019-03-31,365,False,20,Manhattan,Upper West Side,11,Marilyn L. Hossain,marilynh91@yahoo.com,2009-04-04,"New York, New York, United States",Within an hour,100.0,87.0,True,3449,367,11.0
Room with a View,Private room,2,55.0,5.0,12,2016-04-14,2018-04-22,0,False,21,Queens,Astoria,1149,Tracey F. Mcguire,traceymcguire@gmail.com,2013-05-22,"New York, New York, United States",Within a few hours,100.0,50.0,False,1448,710,6.9
Williamsburg Old School Light x Airy x Rustic Loft,Entire place,4,140.0,4.75,193,2010-08-15,2016-07-06,227,False,12,Brooklyn,Williamsburg,122,Suzanne J. Reddy,suzannejreddy98@yahoo.com,2010-08-06,"Halcottsville, New York, United States",Within an hour,92.0,98.0,True,3517,1365,9.7
Beautiful Queens Brownstone! - 5BR,Entire place,16,339.0,4.69,13,2012-01-03,2019-11-12,365,False,25,Queens,Ridgewood,124,Margaret L. Mohan,margaretmohan65@hotmail.com,2010-08-17,"New York, New York, United States",Within a few hours,100.0,40.0,True,3011,141,9.6
( F) Excellent/Pvt Rm,Private room,2,65.0,4.42,53,2010-10-09,2019-09-03,365,False,23,Queens,Jamaica,26,Virginia G. Castillo,virginiacastillo@gmail.com,2009-07-27,"New York, New York, United States",Within a few hours,83.0,88.0,False,3462,211,10.7
Clean and convenient 2BR apartment,Private room,7,160.0,4.5,6,2011-10-22,2015-10-08,365,False,25,Queens,Ridgewood,124,Margaret L. Mohan,margaretmohan65@hotmail.com,2010-08-17,"New York, New York, United States",Within a few hours,100.0,40.0,True,3084,1637,9.6
The Instituteâ€”Heart of Williamsburg,Entire place,5,249.0,4.96,370,2010-12-20,2019-12-28,7,True,12,Brooklyn,Williamsburg,9,Christopher P. Tyler,cptyler@hotmail.com,2009-03-21,"New York, New York, United States",Within a few hours,100.0,50.0,False,3390,95,11.0
City Room - Private Penthouse Apt.,Entire place,5,161.0,4.52,122,2011-01-02,2020-01-03,365,False,16,Manhattan,Harlem,141,Sherry B. Downey,sherrydowney@gmail.com,2010-10-07,"New York, New York, United States",Within a few hours,75.0,100.0,False,3377,89,9.5
(H) Great Deal/Pvt Rm,Private room,2,65.0,4.48,62,2010-10-13,2018-01-01,365,False,23,Queens,Jamaica,26,Virginia G. Castillo,virginiacastillo@gmail.com,2009-07-27,"New York, New York, United States",Within a few hours,83.0,88.0,False,3458,821,10.7
City Room - Private & Comfy Bedroom,Private room,2,78.0,4.88,208,2010-12-16,2020-05-28,338,False,16,Manhattan,Harlem,141,Sherry B. Downey,sherrydowney@gmail.com,2010-10-07,"New York, New York, United States",Within a few hours,75.0,100.0,False,3394,-57,9.5
"Great new apt, close to everything",Entire place,4,156.0,4.9,107,2011-06-15,2020-02-17,78,False,17,Manhattan,Hell's Kitchen,153,Brian M. Holmes,brianmholmes18@gmail.com,2010-10-30,"New York, New York, United States",Within a few hours,100.0,94.0,True,3213,44,9.4
The Brownstone-Luxury 1 Bd Apt/NYC,Entire place,2,157.0,4.98,258,2010-11-08,2020-08-07,319,True,16,Manhattan,Harlem,154,Helen C. Harding,helenh96@hotmail.com,2010-11-01,"New York, New York, United States",Within an hour,93.0,100.0,True,3432,-128,9.4
PRIVATE Room on Historic Sugar Hill,Private room,3,48.0,4.96,512,2011-04-25,2020-03-15,328,True,16,Manhattan,Harlem,155,Debra J. Alam,debraalam12@yahoo.com,2010-11-03,"New York, New York, United States",Within an hour,100.0,98.0,True,3264,17,9.4
SpaHa Studio Monthly Rental,Entire place,2,100.0,4.91,187,2011-04-22,2019-11-23,365,False,14,Manhattan,East Harlem,161,Edna L. Arroyo,ednaa82@hotmail.com,2010-11-19,"New York, New York, United States",Within an hour,100.0,100.0,True,3267,130,9.4
City Room - Private Luxury Suite,Private room,3,110.0,4.67,215,2011-01-03,2020-02-17,365,True,16,Manhattan,Harlem,141,Sherry B. Downey,sherrydowney@gmail.com,2010-10-07,"New York, New York, United States",Within a few hours,75.0,100.0,False,3376,44,9.5
"Bright, Sunny, Comfy Home to Shelter in Place",Entire place,6,99.0,4.79,155,2010-12-14,2020-06-19,347,True,15,Manhattan,East Village,162,Tracy J. Bell,tracybell92@yahoo.com,2010-11-20,"New York, New York, United States",Within a few hours,100.0,100.0,True,3396,-79,9.4
A SpeciaL!! Private Room in NY,Private room,2,38.0,4.63,213,2010-12-21,2020-04-25,363,False,30,Staten Island,Tompkinsville,164,Debra T. Erickson,dterickson@yahoo.com,2010-11-29,"New York, New York, United States",Within an hour,100.0,96.0,False,3389,-24,9.3
B NYC Staten Alternative...,Private room,2,38.0,4.69,170,2011-02-21,2020-07-31,346,False,30,Staten Island,Tompkinsville,164,Debra T. Erickson,dterickson@yahoo.com,2010-11-29,"New York, New York, United States",Within an hour,100.0,96.0,False,3327,-121,9.3
C Private Room By The Ferry,Private room,2,38.0,4.63,199,2011-01-07,2020-05-29,358,False,30,Staten Island,Tompkinsville,164,Debra T. Erickson,dterickson@yahoo.com,2010-11-29,"New York, New York, United States",Within an hour,100.0,96.0,False,3372,-58,9.3
Beautiful Landmarked Duplex,Entire place,4,285.0,4.83,128,2011-03-05,2020-03-15,362,False,11,Brooklyn,Greenpoint,166,Denise C. Mata,denisem@hotmail.com,2010-12-01,"Brooklyn, New York, United States",Within a few hours,100.0,83.0,True,3315,17,9.3
Safe and near subway& Manhattan NY NY retro style,Entire place,5,139.0,4.74,480,2011-06-20,2020-03-21,355,False,21,Queens,Astoria,167,Brandon N. Bowers,brandonb64@gmail.com,2010-12-02,"New York, New York, United States",Within a few hours,100.0,90.0,False,3208,11,9.3
Cottage in the Village,Entire place,4,200.0,4.48,153,2011-01-06,2020-01-03,0,False,15,Manhattan,East Village,165,Justin F. Woo,jfwoo11@hotmail.com,2010-12-01,"New York, New York, United States",Within an hour,100.0,79.0,False,3373,89,9.3
cozy bedroom in lovely garden apt,Private room,2,75.0,4.98,50,2018-06-16,2020-02-22,0,True,9,Brooklyn,Crown Heights,168,Samuel L. Mcneil,samuelm@outlook.com,2010-12-09,"Brooklyn, New York, United States",Within a day,100.0,100.0,False,655,39,9.3
ENJOY Downtown NYC!!,Private room,2,40.0,4.79,215,2011-01-03,2020-01-19,46,False,15,Manhattan,East Village,37,Laura F. Salah,laurafsalah70@hotmail.com,2009-10-19,"New York, New York, United States",Within a day,60.0,73.0,False,3376,73,10.5
10 min from Manhattan!,Private room,1,36.0,4.49,80,2012-10-08,2020-02-08,0,False,7,Brooklyn,Bedford-Stuyvesant,171,Lisa D. Drake,lisad@yahoo.com,2010-12-14,"New York, New York, United States",Within an hour,100.0,0.0,False,2732,53,9.3
"CHARMING, QUIET EAST VILLAGE 2 (or 1) BR",Entire place,3,165.0,5.0,5,2016-09-17,2019-01-03,329,False,15,Manhattan,East Village,172,William J. Norman,williamn@hotmail.com,2010-12-16,"New York, New York, United States",A few days or more,0.0,17.0,False,1292,454,9.3
Farmhouse Apartment in Williamsburg,Entire place,2,90.0,4.87,55,2011-01-29,2020-03-15,344,False,12,Brooklyn,Williamsburg,173,April J. Gillespie,aprilg59@gmail.com,2010-12-16,"New York, New York, United States",Within an hour,100.0,100.0,False,3350,17,9.3
**Fantastic Williamsburg Apt**,Entire place,2,89.0,4.55,11,2013-01-03,2019-08-05,107,True,12,Brooklyn,Williamsburg,177,Eileen S. Taylor,eileentaylor67@hotmail.com,2010-12-22,"New York, New York, United States",Within an hour,100.0,100.0,False,2645,240,9.3
West Harlem Home Base - Eco-Apt.,Entire place,5,122.0,4.62,209,2011-04-14,2020-05-31,338,True,16,Manhattan,Harlem,100,Kimberly D. Barton,kimberlybarton76@gmail.com,2010-06-01,"New York, New York, United States",Within a few hours,90.0,97.0,False,3275,-60,9.8
Central Park 1BR sunny condo,Entire place,2,99.0,4.83,29,2012-09-01,2020-07-08,314,True,14,Manhattan,East Harlem,77,Rhonda O. Hollingsworth,rohollingsworth@hotmail.com,2010-03-31,"Stockholm, Stockholm, Sweden",Within a few hours,100.0,100.0,True,2769,-98,10.0
Cozy Garden Apartment  in Williamsburg,Entire place,4,69.0,4.98,61,2011-03-29,2020-03-29,24,False,12,Brooklyn,Williamsburg,178,Brian L. Burgess,blburgess14@gmail.com,2010-12-29,"New York, New York, United States",Within a few hours,100.0,83.0,True,3291,3,9.3
Cozy room in Upper West Side,Private room,1,109.0,4.17,112,2011-05-27,2019-10-28,365,False,20,Manhattan,Upper West Side,175,Patricia J. Caldwell,patriciacaldwell77@outlook.com,2010-12-20,"New York, New York, United States",Within a few hours,100.0,88.0,False,3232,156,9.3
Your Home Away from Home,Entire place,2,175.0,5.0,17,2017-03-29,2019-09-01,0,True,11,Brooklyn,Greenpoint,602,Angela M. Maxwell,angelamaxwell35@gmail.com,2012-04-18,"New York, New York, United States",Within an hour,100.0,50.0,False,1099,213,8.0
Your home away from home,Private room,2,65.0,4.88,77,2015-05-22,2019-10-12,89,False,8,Brooklyn,Bushwick,2249,Amber J. Acosta,amberacosta99@hotmail.com,2015-05-12,"New York, New York, United States",Within a day,100.0,72.0,True,1776,172,4.9
Prewar Penthouse w Private Terrace,Entire place,2,199.0,5.0,33,2011-09-27,2020-03-16,363,False,20,Manhattan,Upper West Side,182,Sean J. Castro,seancastro22@outlook.com,2011-01-10,"New York, New York, United States",Within a day,100.0,38.0,False,3109,16,9.2
"Nice renovated apt, prime location!",Entire place,2,150.0,4.82,50,2012-05-01,2020-03-17,73,True,20,Manhattan,Upper West Side,187,Nancy J. Stevenson,nancyjstevenson5@gmail.com,2011-01-18,"New York, New York, United States",Within a day,79.0,56.0,False,2892,15,9.2
Food & Music Dream Apartment in Williamsburg,Entire place,4,187.0,5.0,90,2011-06-27,2020-07-31,261,True,12,Brooklyn,Williamsburg,129,James G. Hunter,jameshunter@yahoo.com,2010-08-24,"New York, New York, United States",Within an hour,100.0,96.0,True,3201,-121,9.6
French Garden cottage off Bedford,Entire place,2,134.43,4.74,70,2011-03-29,2019-12-22,267,False,12,Brooklyn,Williamsburg,191,William S. Stewart,williams@outlook.com,2011-02-13,"New York, New York, United States",Within a day,60.0,20.0,False,3291,101,9.1
Alcove Studio w/ outdoor Patio Deck,Entire place,3,63.0,4.36,36,2011-09-14,2020-07-21,284,False,14,Manhattan,East Harlem,180,Gladys J. Russo,gladysjrusso7@outlook.com,2010-12-31,"New York, New York, United States",Within a few hours,70.0,74.0,False,3122,-111,9.3
One Bedroom Mini studio - Free WIFI,Entire place,3,119.0,4.74,223,2011-06-13,2019-12-29,351,True,21,Queens,Astoria,145,Debra L. Shan,debrashan@yahoo.com,2010-10-18,"New York, New York, United States",Within an hour,90.0,100.0,True,3215,94,9.5
Cozy room in East Village with AC,Private room,2,57.0,4.62,200,2011-05-16,2020-08-08,0,False,15,Manhattan,East Village,210,Tammy J. Nichols,tammynichols86@yahoo.com,2011-03-10,"New York, New York, United States",Within a few hours,100.0,92.0,False,3243,-129,9.1
Duplex w/ Terrace @ Box House Hotel,Private room,4,349.0,4.88,8,2012-04-30,2018-07-26,215,False,11,Brooklyn,Greenpoint,202,Dennis C. Iyer,dennisiyer@hotmail.com,2011-03-01,"Brooklyn, New York, United States",Within an hour,100.0,96.0,True,2893,615,9.1
Loft w/ Terrace @ Box House Hotel,Private room,4,249.0,5.0,4,2011-11-20,2019-08-11,215,False,11,Brooklyn,Greenpoint,202,Dennis C. Iyer,dennisiyer@hotmail.com,2011-03-01,"Brooklyn, New York, United States",Within an hour,100.0,96.0,True,3055,234,9.1
Loft w/ Terrace @ Box House Hotel,Private room,4,349.0,4.71,7,2011-10-18,2019-05-24,215,False,11,Brooklyn,Greenpoint,202,Dennis C. Iyer,dennisiyer@hotmail.com,2011-03-01,"Brooklyn, New York, United States",Within an hour,100.0,96.0,True,3088,313,9.1
East Village Designer's 1-BR APT,Entire place,2,180.0,4.91,44,2011-05-07,2020-03-08,76,False,15,Manhattan,East Village,199,Holly J. Akram,hollyakram@hotmail.com,2011-02-25,"New York, New York, United States",Within a few hours,100.0,96.0,True,3252,24,9.1
Spacious and sunny 1bedroom. apt. East Village,Entire place,2,124.0,4.7,40,2011-05-11,2019-08-09,347,False,15,Manhattan,East Village,142,Troy M. Fernandes,troyfernandes29@gmail.com,2010-10-09,"New York, New York, United States",Within a few hours,100.0,100.0,True,3248,236,9.5
The Vernon On Greene,Entire place,6,133.0,4.82,400,2011-08-17,2020-03-15,225,False,7,Brooklyn,Bedford-Stuyvesant,218,Megan P. Wong,meganwong@gmail.com,2011-04-02,"Brooklyn, New York, United States",Within an hour,100.0,97.0,True,3150,17,9.0
"Beautiful, Brightâ€™s, Warm & Spacious 1.5BR Apt",Entire place,2,125.0,4.84,112,2011-04-27,2020-04-04,358,True,9,Brooklyn,Crown Heights,217,Joseph T. Haider,josephhaider91@yahoo.com,2011-03-30,"New York, New York, United States",Within an hour,100.0,100.0,True,3262,-3,9.0
UWS Brownstone Near Central Park,Entire place,3,212.0,4.73,45,2011-05-29,2018-01-01,44,False,20,Manhattan,Upper West Side,114,Amy F. Hood,amyh@yahoo.com,2010-07-22,"San Francisco, California, United States",Within an hour,100.0,97.0,True,3230,821,9.7
Artsy top floor Apt in prime Bedford  Williamsburg,Entire place,2,175.0,4.9,133,2013-09-21,2020-01-01,365,False,12,Brooklyn,Williamsburg,215,Troy N. Curry,troycurry@hotmail.com,2011-03-26,"New York, New York, United States",Within a day,50.0,45.0,False,2384,91,9.0
2 BR w/ Terrace @ Box House Hotel,Private room,6,599.0,4.33,9,2011-06-20,2018-05-19,215,False,11,Brooklyn,Greenpoint,202,Dennis C. Iyer,dennisiyer@hotmail.com,2011-03-01,"Brooklyn, New York, United States",Within an hour,100.0,96.0,True,3208,683,9.1
Private 1-Bedroom Apt in Townhouse,Entire place,4,68.0,4.28,18,2011-09-05,2020-05-02,166,False,9,Brooklyn,Crown Heights,174,Thomas C. Shannon,thomascshannon11@gmail.com,2010-12-19,"New York, New York, United States",Within a day,50.0,78.0,False,3131,-31,9.3
Bright Room With A Great River View,Private room,1,69.0,4.98,417,2011-05-18,2020-03-15,318,False,16,Manhattan,Harlem,233,Ellen C. Compton,ellenc@gmail.com,2011-05-02,"New York, New York, United States",Within an hour,100.0,98.0,True,3241,17,8.9
Tree lined block modern apartment,Entire place,4,100.0,4.91,97,2011-05-21,2020-03-01,219,False,7,Brooklyn,Bedford-Stuyvesant,234,John L. Castillo,jlcastillo@yahoo.com,2011-05-02,"New York, New York, United States",Within an hour,100.0,60.0,True,3238,31,8.9
Sun-Drenched Hamilton Hts Jewel,Private room,1,65.0,4.84,37,2011-05-23,2019-10-30,0,False,16,Manhattan,Harlem,236,Roger W. Martin,rogerwmartin65@outlook.com,2011-05-08,"New York, New York, United States",A few days or more,0.0,50.0,False,3236,154,8.9
1 BDRM Apt-Weekend Sublease,Entire place,2,60.0,4.72,32,2011-09-20,2020-02-16,304,False,21,Queens,Astoria,242,Jeremy C. Cook,jeremyccook31@outlook.com,2011-05-13,"New York, New York, United States",Within an hour,100.0,55.0,False,3116,45,8.9
â˜†Massive DUPLEXâ˜† 2BR & 2BTH East Village 9+ Guests,Entire place,9,211.0,4.48,410,2012-08-24,2020-07-21,0,True,15,Manhattan,East Village,257,Katelyn B. Kennedy,katelynbkennedy@yahoo.com,2011-05-26,"New York, New York, United States",Within an hour,88.0,98.0,False,2777,-111,8.9
City Room - Street View Apt,Entire place,5,143.0,4.52,128,2011-06-08,2020-03-20,360,False,16,Manhattan,Harlem,141,Sherry B. Downey,sherrydowney@gmail.com,2010-10-07,"New York, New York, United States",Within a few hours,75.0,100.0,False,3220,12,9.5
"Private, spacious room in Brooklyn",Private room,2,50.0,4.75,290,2011-07-02,2020-03-16,178,False,10,Brooklyn,East Flatbush,264,Howard J. Nagy,howardn91@outlook.com,2011-06-04,"New York, New York, United States",Within a few hours,100.0,100.0,False,3196,16,8.8
