order_id,order_number,created_at,customer_id,customer_email,financial_status,fulfillment_status,currency,subtotal,discount_code,discount_amount,shipping,taxes,total,payment_method,billing_city,billing_province,billing_country,source,note
NB-5235,5235,2025-12-03 22:31:55,CUST-1079,marcus.malhotra@yahoo.com,paid,shipped,USD,901.79,,0.0,0,89.86,991.65,Credit Card,Edinburgh,Scotland,GB,Referral,
NB-5422,5422,2025-12-03 23:39:21,CUST-1085,tanya.pandey@gmail.com,paid,fulfilled,USD,87.97,,0,0,7.22,95.19,Credit Card,Gurgaon,Haryana,IN,Google Ads,
NB-5181,5181,2025-12-03 23:46:07,CUST-1117,tanyaallen@outlook.com,paid,fulfilled,USD,25.98,,0.0,5.99,2.56,34.53,PayPal,Chicago,Illinois,US,Organic Search,
NB-5121,5121,2025-12-04 06:36:38,CUST-1051,kaylaiyer@icloud.com,paid,fulfilled,USD,41.98,WELCOME10,4.2,8.99,3.55,50.32,Credit Card,Atlanta,Georgia,US,Direct,
NB-5444,5444,2025-12-04 08:23:38,CUST-1087,meera.white@icloud.com,paid,fulfilled,USD,78.96,,0,0,5.01,83.97,PayPal,Bristol,England,GB,Referral,
NB-5057,5057,2025-12-04 10:44:00,CUST-1060,komalchen@gmail.com,paid,fulfilled,USD,66.1,,0.0,0,4.41,70.51,Apple Pay,Brooklyn,New York,US,Instagram Ads,
NB-5151,5151,2025-12-04 11:01:02,CUST-1044,kavya.agarwal@yahoo.com,paid,delivered,USD,630.77,NEWBREW20,126.15,0,33.85,538.47,PayPal,Edinburgh,Scotland,GB,Instagram Ads,
NB-5148,5148,2025-12-04 12:36:36,CUST-1152,kaylachatterjee@hotmail.com,paid,fulfilled,USD,124.94,,0.0,0,11.84,136.78,PayPal,Chicago,Illinois,US,Organic Search,
NB-5123,5123,2025-12-04 13:06:18,CUST-1131,jessica_thomas@yahoo.com,paid,fulfilled,USD,262.43,WELCOME10,26.24,0,15.76,251.95,Credit Card,Berlin,Berlin,DE,Organic Search,
NB-5279,5279,2025-12-04 13:33:45,CUST-1030,davidmehta@hotmail.com,paid,delivered,USD,132.32,WELCOME10,13.23,0,11.32,130.41,Credit Card,Charlotte,North Carolina,US,Google Ads,
NB-5150,5150,2025-12-04 13:42:16,CUST-1006,ravi_adams@protonmail.com,paid,fulfilled,USD,152.52,,0.0,0,10.55,163.07,PayPal,Delhi,Delhi,IN,Referral,
NB-5201,5201,2025-12-04 15:01:36,CUST-1016,laylabrown@outlook.com,paid,fulfilled,USD,168.41,,0.0,0,11.5,179.91,PayPal,Vancouver,British Columbia,CA,Organic Search,
NB-5261,5261,2025-12-04 19:46:31,CUST-1150,urmi.phillips@gmail.com,paid,fulfilled,USD,98.03,LOYALTY5,4.9,0,9.13,102.26,PayPal,Philadelphia,Pennsylvania,US,Referral,
NB-5080,5080,2025-12-04 20:11:10,CUST-1052,oliviayoung@icloud.com,paid,fulfilled,USD,133.06,,0.0,0,10.75,143.81,Google Pay,Gurgaon,Haryana,IN,Google Ads,
NB-5158,5158,2025-12-04 21:40:19,CUST-1187,aman_berg@outlook.com,paid,fulfilled,USD,19.99,,0.0,0,1.71,21.7,Credit Card,Birmingham,England,GB,Direct,
NB-5192,5192,2025-12-04 22:05:30,CUST-1020,brett.menon@protonmail.com,paid,fulfilled,USD,191.74,,0.0,0,16.22,207.96,PayPal,Las Vegas,Nevada,US,Referral,
NB-5441,5441,2025-12-05 07:38:48,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,84.95,,0,0,7.92,92.87,Shop Pay,Jaipur,Rajasthan,IN,Direct,
NB-5175,5175,2025-12-05 08:07:47,CUST-1138,namita.ghosh@hotmail.com,paid,fulfilled,USD,113.96,,0.0,0,8.23,122.19,Credit Card,Gurgaon,Haryana,IN,Organic Search,
NB-5244,5244,2025-12-05 09:02:20,CUST-1054,william.taylor@gmail.com,paid,fulfilled,USD,249.71,,0.0,0,19.02,268.73,Google Pay,Denver,Colorado,US,Referral,
NB-5263,5263,2025-12-05 09:48:04,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,386.37,WELCOME10,38.64,0,33.11,380.84,Credit Card,Jaipur,Rajasthan,IN,Direct,
NB-5188,5188,2025-12-05 10:11:49,CUST-1053,tushar_smith@icloud.com,paid,shipped,USD,534.95,COFFEE15,80.24,0,42.84,497.55,Google Pay,Ahmedabad,Gujarat,IN,Instagram Ads,
NB-5275,5275,2025-12-05 11:13:17,CUST-1076,jordan_garcia@yahoo.com,paid,fulfilled,USD,170.56,,0.0,0,12.71,183.27,Google Pay,Toronto,Ontario,CA,Instagram Ads,
NB-5440,5440,2025-12-05 11:30:47,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,110.95,,0,0,9.74,120.69,Credit Card,Jaipur,Rajasthan,IN,Direct,
NB-5182,5182,2025-12-05 12:06:08,CUST-1103,divya.green@protonmail.com,paid,fulfilled,USD,109.97,,0.0,0,8.18,118.15,Credit Card,Calgary,Alberta,CA,Facebook Ads,
NB-5065,5065,2025-12-05 13:22:25,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,215.92,,0.0,0,20.13,236.05,Credit Card,Jaipur,Rajasthan,IN,Direct,
NB-5027,5027,2025-12-05 13:36:53,CUST-1110,amanda_agarwal@outlook.com,paid,fulfilled,USD,462.15,,0.0,0,28.28,490.43,Google Pay,Noida,Uttar Pradesh,IN,Referral,
NB-5230,5230,2025-12-05 14:33:28,CUST-1073,pankaj_deshpande@protonmail.com,paid,shipped,USD,147.61,,0.0,0,9.55,157.16,Shop Pay,Miami,Florida,US,Referral,
NB-5202,5202,2025-12-05 15:36:15,CUST-1097,aman.pandey@hotmail.com,paid,fulfilled,USD,126.14,,0.0,0,9.5,135.64,PayPal,Austin,Texas,US,Instagram Ads,
NB-5042,5042,2025-12-05 18:35:32,CUST-1178,thomas.smith@outlook.com,paid,delivered,USD,199.93,,0.0,0,18.24,218.17,Apple Pay,Miami,Florida,US,Organic Search,
NB-5064,5064,2025-12-05 20:20:26,CUST-1038,gaurav.mehta@protonmail.com,paid,delivered,USD,64.97,,0.0,0,6.05,71.02,Credit Card,Manhattan,New York,US,Organic Search,
NB-5130,5130,2025-12-05 22:02:57,CUST-1056,henryiyer@icloud.com,paid,fulfilled,USD,525.5,LOYALTY5,26.28,0,49.78,549.0,Credit Card,Atlanta,Georgia,US,Instagram Ads,
NB-5420,5420,2025-12-06 06:03:42,CUST-1155,maria_kumar@gmail.com,paid,fulfilled,USD,207.95,,0,0,13.56,221.51,Credit Card,Calgary,Alberta,CA,Referral,
NB-5415,5415,2025-12-06 07:08:25,CUST-1083,jackturner@icloud.com,paid,fulfilled,USD,151.94,,0,0,13.98,165.92,Apple Pay,San Jose,California,US,Direct,
NB-5164,5164,2025-12-06 07:12:06,CUST-1048,mariasharma@icloud.com,paid,fulfilled,USD,153.94,,0.0,0,9.32,163.26,Apple Pay,Kochi,Kerala,IN,Email Campaign,
NB-5207,5207,2025-12-06 08:47:59,CUST-1082,ellamiller@yahoo.com,paid,fulfilled,USD,207.48,LOYALTY5,10.37,0,17.91,215.02,Credit Card,Detroit,Michigan,US,Google Ads,
NB-5040,5040,2025-12-06 09:16:42,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,243.9,,0.0,0,16.96,260.86,Credit Card,Jaipur,Rajasthan,IN,Direct,
NB-5157,5157,2025-12-06 14:52:24,CUST-1171,mitali_bose@icloud.com,paid,fulfilled,USD,376.38,,0.0,0,32.05,408.43,Apple Pay,Houston,Texas,US,Instagram Ads,
NB-5155,5155,2025-12-06 15:07:40,CUST-1024,manish.williams@protonmail.com,paid,fulfilled,USD,87.46,,0.0,0,5.69,93.15,Apple Pay,Seattle,Washington,US,Google Ads,
NB-5234,5234,2025-12-06 17:08:29,CUST-1166,derekbhatt@yahoo.com,paid,delivered,USD,215.49,,0.0,0,19.73,235.22,Shop Pay,Chicago,Illinois,US,Instagram Ads,
NB-5184,5184,2025-12-06 20:55:39,CUST-1023,megan.pandey@icloud.com,paid,shipped,USD,178.86,LOYALTY5,8.94,0,14.23,184.15,Apple Pay,Boston,Massachusetts,US,Referral,
NB-5260,5260,2025-12-06 21:43:06,CUST-1136,daniel_agarwal@outlook.com,paid,fulfilled,USD,151.41,,0.0,0,9.48,160.89,Credit Card,San Jose,California,US,Google Ads,
NB-5024,5024,2025-12-06 22:16:52,CUST-1083,jackturner@icloud.com,paid,fulfilled,USD,134.96,,0.0,0,11.63,146.59,Credit Card,San Jose,California,US,Direct,
NB-5144,5144,2025-12-06 22:17:25,CUST-1179,henry_wright@gmail.com,paid,fulfilled,USD,142.72,NEWBREW20,28.54,0,8.95,123.13,Credit Card,Dallas,Texas,US,Google Ads,
NB-5034,5034,2025-12-06 23:01:46,CUST-1195,charliewright@protonmail.com,paid,fulfilled,USD,122.53,,0.0,0,10.46,132.99,Credit Card,Minneapolis,Minnesota,US,Google Ads,
NB-5407,5407,2025-12-06 23:35:38,CUST-1113,paige.lewis@gmail.com,paid,fulfilled,USD,234.95,,0,0,21.01,255.96,Credit Card,Los Angeles,California,US,Instagram Ads,
NB-5425,5425,2025-12-07 06:10:36,CUST-1072,deepak_tiwari@protonmail.com,paid,fulfilled,USD,83.95,,0,0,5.61,89.56,Credit Card,Pune,Maharashtra,IN,Direct,
NB-5233,5233,2025-12-07 09:20:14,CUST-1119,tushar_thomas@gmail.com,paid,fulfilled,USD,79.97,,0.0,0,7.65,87.62,Credit Card,Jaipur,Rajasthan,IN,Direct,
NB-5222,5222,2025-12-07 09:58:28,CUST-1158,komal.banerjee@icloud.com,paid,fulfilled,USD,107.87,,0.0,0,9.49,117.36,PayPal,Kolkata,West Bengal,IN,Google Ads,
NB-5049,5049,2025-12-07 10:56:41,CUST-1157,harishyoung@hotmail.com,paid,fulfilled,USD,115.95,,0.0,0,10.32,126.27,PayPal,Dallas,Texas,US,TikTok Ads,
NB-5143,5143,2025-12-07 13:53:39,CUST-1073,pankaj_deshpande@protonmail.com,paid,delivered,USD,234.27,,0.0,0,18.67,252.94,Google Pay,Miami,Florida,US,Referral,
NB-5273,5273,2025-12-07 14:08:01,CUST-1012,sunitaallen@hotmail.com,paid,fulfilled,USD,109.3,,0.0,0,10.35,119.65,Google Pay,Sacramento,California,US,Google Ads,
NB-5428,5428,2025-12-07 14:13:37,CUST-1049,peterreddy@outlook.com,paid,fulfilled,USD,140.95,,0,0,11.22,152.17,Apple Pay,Jaipur,Rajasthan,IN,Direct,
NB-5172,5172,2025-12-07 15:50:25,CUST-1033,lakshmi_martin@yahoo.com,paid,fulfilled,USD,75.18,WELCOME10,7.52,0,5.42,73.08,Google Pay,Chennai,Tamil Nadu,IN,Google Ads,
NB-5419,5419,2025-12-07 16:27:30,CUST-1155,maria_kumar@gmail.com,paid,fulfilled,USD,84.95,,0,0,5.94,90.89,Google Pay,Calgary,Alberta,CA,Referral,
NB-5168,5168,2025-12-07 23:59:47,CUST-1195,charliewright@protonmail.com,paid,fulfilled,USD,360.57,,0.0,0,25.97,386.54,Credit Card,Minneapolis,Minnesota,US,Google Ads,
NB-5147,5147,2025-12-08 07:25:06,CUST-1110,amanda_agarwal@outlook.com,paid,fulfilled,USD,216.86,NEWBREW20,43.37,0,14.28,187.77,Credit Card,Noida,Uttar Pradesh,IN,Referral,
NB-5014,5014,2025-12-08 07:25:28,CUST-1017,morgan_yamamoto@gmail.com,paid,fulfilled,USD,117.96,,0.0,0,9.8,127.76,Credit Card,Houston,Texas,US,TikTok Ads,
NB-5070,5070,2025-12-08 07:48:14,CUST-1083,jackturner@icloud.com,paid,fulfilled,USD,182.96,LOYALTY5,9.15,0,10.62,184.43,Shop Pay,San Jose,California,US,Direct,
NB-5213,5213,2025-12-08 08:43:40,CUST-1032,cameron_smith@protonmail.com,paid,fulfilled,USD,433.17,LOYALTY5,21.66,0,36.77,448.28,Credit Card,Kolkata,West Bengal,IN,Instagram Ads,
NB-5404,5404,2025-12-08 14:07:34,CUST-1061,rohit_walker@icloud.com,paid,fulfilled,USD,29.99,,0,5.99,2.57,38.55,Credit Card,Los Angeles,California,US,Organic Search,
NB-5008,5008,2025-12-08 14:21:19,CUST-1142,jake_harris@yahoo.com,paid,fulfilled,USD,124.95,NEWBREW20,24.99,0,9.69,109.65,Apple Pay,Gurgaon,Haryana,IN,Organic Search,
NB-5089,5089,2025-12-08 15:12:09,CUST-1103,divya.green@protonmail.com,paid,fulfilled,USD,132.93,,0.0,0,12.8,145.73,Credit Card,Calgary,Alberta,CA,Facebook Ads,
NB-5103,5103,2025-12-08 16:00:45,CUST-1023,megan.pandey@icloud.com,paid,shipped,USD,427.2,WELCOME10,42.72,0,25.35,409.83,Google Pay,Boston,Massachusetts,US,Referral,
NB-5074,5074,2025-12-08 16:10:40,CUST-1027,pooja.thompson@hotmail.com,paid,fulfilled,USD,141.43,,0.0,0,13.49,154.92,Google Pay,New York,New York,US,TikTok Ads,
NB-5088,5088,2025-12-08 20:19:43,CUST-1167,nupur_khanna@gmail.com,paid,fulfilled,USD,116.94,,0.0,0,8.59,125.53,Apple Pay,Atlanta,Georgia,US,Email Campaign,
NB-5189,5189,2025-12-08 21:29:26,CUST-1180,elizabeth.pillai@outlook.com,paid,fulfilled,USD,188.28,,0.0,0,11.67,199.95,Credit Card,Amsterdam,North Holland,NL,Referral,
NB-5082,5082,2025-12-08 21:36:38,CUST-1152,kaylachatterjee@hotmail.com,paid,fulfilled,USD,56.98,WELCOME10,5.7,0,4.9,56.18,Apple Pay,Chicago,Illinois,US,Organic Search,
NB-5004,5004,2025-12-08 22:14:40,CUST-1083,jackturner@icloud.com,paid,fulfilled,USD,52.97,NEWBREW20,10.59,0,4.2,46.58,PayPal,San Jose,California,US,Direct,
NB-5135,5135,2025-12-08 23:27:36,CUST-1086,gaurav.sinha@gmail.com,paid,fulfilled,USD,218.74,,0.0,0,18.02,236.76,Credit Card,San Diego,California,US,Referral,
NB-5221,5221,2025-12-09 07:24:24,CUST-1025,jessicajackson@outlook.com,paid,fulfilled,USD,86.2,,0.0,0,7.4,93.6,Credit Card,London,England,GB,Instagram Ads,
NB-5214,5214,2025-12-09 07:44:59,CUST-1109,shreya.king@icloud.com,paid,fulfilled,USD,144.94,LOYALTY5,7.25,0,8.41,146.1,Credit Card,Singapore,Singapore,SG,Email Campaign,
NB-5240,5240,2025-12-09 08:23:22,CUST-1156,jyoti_kumar@yahoo.com,paid,fulfilled,USD,188.84,,0.0,0,17.37,206.21,Credit Card,Bristol,England,GB,Google Ads,
NB-5026,5026,2025-12-09 08:43:59,CUST-1175,marcoverma@yahoo.com,paid,fulfilled,USD,129.98,,0.0,0,10.85,140.83,Shop Pay,Washington,District of Columbia,US,Direct,
NB-5426,5426,2025-12-09 10:56:17,CUST-1031,swatireddy@gmail.com,paid,fulfilled,USD,242.91,,0,0,20.52,263.43,Credit Card,Hyderabad,Telangana,IN,Google Ads,
NB-5117,5117,2025-12-09 12:20:32,CUST-1016,laylabrown@outlook.com,paid,fulfilled,USD,44.98,,0.0,8.99,3.46,57.43,Credit Card,Vancouver,British Columbia,CA,Organic Search,
NB-5232,5232,2025-12-09 19:16:21,CUST-1134,brett.harris@gmail.com,paid,fulfilled,USD,118.95,COFFEE15,17.84,0,8.46,109.57,PayPal,Mumbai,Maharashtra,IN,Organic Search,
NB-5409,5409,2025-12-09 19:33:45,CUST-1194,peter.campbell@icloud.com,paid,fulfilled,USD,168.91,,0,0,11.25,180.16,Credit Card,San Jose,California,US,Organic Search,
NB-5259,5259,2025-12-10 09:24:18,CUST-1030,davidmehta@hotmail.com,paid,fulfilled,USD,71.13,,0.0,0,6.81,77.94,Shop Pay,Charlotte,North Carolina,US,Google Ads,
NB-5053,5053,2025-12-10 10:15:17,CUST-1157,harishyoung@hotmail.com,paid,fulfilled,USD,79.97,LOYALTY5,4.0,0,6.11,82.08,Credit Card,Dallas,Texas,US,TikTok Ads,
NB-5277,5277,2025-12-10 13:19:13,CUST-1088,anna_king@icloud.com,paid,fulfilled,USD,386.05,,0.0,0,34.24,420.29,Google Pay,Sydney,New South Wales,AU,Referral,
NB-5442,5442,2025-12-10 13:27:59,CUST-1087,meera.white@icloud.com,paid,fulfilled,USD,19.99,,0,0,1.79,21.78,PayPal,Bristol,England,GB,Referral,
NB-5253,5253,2025-12-10 16:52:54,CUST-1195,charliewright@protonmail.com,paid,fulfilled,USD,101.53,WELCOME10,10.15,0,6.73,98.11,Credit Card,Minneapolis,Minnesota,US,Google Ads,
NB-5246,5246,2025-12-10 18:39:53,CUST-1040,kelly_gupta@icloud.com,paid,fulfilled,USD,107.46,,0.0,0,7.29,114.75,PayPal,Noida,Uttar Pradesh,IN,Organic Search,
NB-5039,5039,2025-12-10 19:29:14,CUST-1055,shane_berg@hotmail.com,paid,shipped,USD,275.93,,0.0,0,22.93,298.86,Credit Card,Phoenix,Arizona,US,Email Campaign,
NB-5228,5228,2025-12-10 23:08:20,CUST-1149,pooja.kulkarni@hotmail.com,paid,fulfilled,USD,127.94,LOYALTY5,6.4,0,7.49,129.03,Google Pay,Austin,Texas,US,Organic Search,
NB-5037,5037,2025-12-11 06:30:06,CUST-1053,tushar_smith@icloud.com,paid,fulfilled,USD,107.97,,0.0,0,8.44,116.41,PayPal,Ahmedabad,Gujarat,IN,Instagram Ads,
NB-5267,5267,2025-12-11 06:34:20,CUST-1040,kelly_gupta@icloud.com,paid,fulfilled,USD,45.98,WELCOME10,4.6,0,2.52,43.9,PayPal,Noida,Uttar Pradesh,IN,Organic Search,
NB-5252,5252,2025-12-11 07:17:23,CUST-1049,peterreddy@outlook.com,paid,delivered,USD,123.97,,0.0,0,11.23,135.2,Google Pay,Jaipur,Rajasthan,IN,Direct,
NB-5226,5226,2025-12-11 07:25:07,CUST-1020,brett.menon@protonmail.com,paid,fulfilled,USD,120.48,LOYALTY5,6.02,0,7.93,122.39,Credit Card,Las Vegas,Nevada,US,Referral,
NB-5012,5012,2025-12-11 08:34:03,CUST-1156,jyoti_kumar@yahoo.com,paid,fulfilled,USD,230.21,NEWBREW20,46.04,0,12.03,196.2,Credit Card,Bristol,England,GB,Google Ads,
NB-5270,5270,2025-12-11 08:41:52,CUST-1074,nisha_young@protonmail.com,paid,shipped,USD,62.97,LOYALTY5,3.15,0,4.82,64.64,Credit Card,Berlin,Berlin,DE,Email Campaign,
NB-5055,5055,2025-12-11 11:48:30,CUST-1154,nikhil_wilson@icloud.com,paid,fulfilled,USD,209.65,LOYALTY5,10.48,0,13.17,212.34,Credit Card,Kolkata,West Bengal,IN,Referral,
NB-5194,5194,2025-12-11 12:00:40,CUST-1124,divya.green@yahoo.com,paid,fulfilled,USD,106.96,,0.0,0,9.35,116.31,Credit Card,Manchester,England,GB,TikTok Ads,
NB-5405,5405,2025-12-11 14:09:55,CUST-1061,rohit_walker@icloud.com,paid,fulfilled,USD,214.94,,0,0,13.96,228.9,PayPal,Los Angeles,California,US,Organic Search,
NB-5140,5140,2025-12-11 14:14:38,CUST-1129,alex_anderson@protonmail.com,paid,delivered,USD,348.37,COFFEE15,52.26,0,29.21,325.32,PayPal,Denver,Colorado,US,Referral,
NB-5218,5218,2025-12-11 14:51:06,CUST-1097,aman.pandey@hotmail.com,paid,fulfilled,USD,388.91,,0.0,0,28.21,417.12,Apple Pay,Austin,Texas,US,Instagram Ads,
NB-5093,5093,2025-12-11 20:09:20,CUST-1071,nisha.roberts@outlook.com,paid,fulfilled,USD,131.04,,0.0,0,10.43,141.47,Credit Card,Noida,Uttar Pradesh,IN,Instagram Ads,
NB-5439,5439,2025-12-12 06:44:27,CUST-1101,benjamingarcia@yahoo.com,paid,fulfilled,USD,101.96,,0,0,6.17,108.13,Google Pay,Berlin,Berlin,DE,TikTok Ads,
NB-5066,5066,2025-12-12 08:37:37,CUST-1149,pooja.kulkarni@hotmail.com,paid,delivered,USD,152.42,COFFEE15,22.86,0,8.04,137.6,PayPal,Austin,Texas,US,Organic Search,
NB-5145,5145,2025-12-12 09:20:23,CUST-1074,nisha_young@protonmail.com,paid,fulfilled,USD,110.96,WELCOME10,11.1,0,7.11,106.97,PayPal,Berlin,Berlin,DE,Email Campaign,
NB-5236,5236,2025-12-12 09:28:31,CUST-1189,pranaviyer@hotmail.com,paid,delivered,USD,114.09,,0.0,0,10.06,124.15,Apple Pay,Berlin,Berlin,DE,Referral,
NB-5274,5274,2025-12-12 10:15:07,CUST-1033,lakshmi_martin@yahoo.com,paid,fulfilled,USD,103.97,LOYALTY5,5.2,0,8.84,107.61,Shop Pay,Chennai,Tamil Nadu,IN,Google Ads,
NB-5013,5013,2025-12-12 10:46:14,CUST-1192,aditi_miller@hotmail.com,paid,fulfilled,USD,246.08,,0.0,0,15.76,261.84,PayPal,Amsterdam,North Holland,NL,Google Ads,
NB-5009,5009,2025-12-12 13:14:08,CUST-1109,shreya.king@icloud.com,paid,fulfilled,USD,210.93,LOYALTY5,10.55,0,19.02,219.4,PayPal,Singapore,Singapore,SG,Email Campaign,
NB-5095,5095,2025-12-12 15:10:04,CUST-1037,aditirobinson@yahoo.com,paid,fulfilled,USD,419.92,,0.0,0,37.41,457.33,Credit Card,Hyderabad,Telangana,IN,Email Campaign,
NB-5217,5217,2025-12-12 15:30:47,CUST-1168,tushar.campbell@outlook.com,paid,fulfilled,USD,213.95,,0.0,0,21.02,234.97,Apple Pay,Las Vegas,Nevada,US,Organic Search,
NB-5078,5078,2025-12-12 17:56:24,CUST-1195,charliewright@protonmail.com,paid,fulfilled,USD,54.85,,0.0,0,5.06,59.91,Shop Pay,Minneapolis,Minnesota,US,Google Ads,
NB-5268,5268,2025-12-12 18:20:36,CUST-1117,tanyaallen@outlook.com,paid,fulfilled,USD,97.47,,0.0,0,7.26,104.73,Credit Card,Chicago,Illinois,US,Organic Search,
NB-5119,5119,2025-12-12 18:27:20,CUST-1151,fatima_campbell@hotmail.com,paid,shipped,USD,91.15,,0.0,0,6.77,97.92,Credit Card,Philadelphia,Pennsylvania,US,Google Ads,
NB-5086,5086,2025-12-12 20:11:55,CUST-1083,jackturner@icloud.com,paid,fulfilled,USD,133.94,LOYALTY5,6.7,0,11.6,138.84,Google Pay,San Jose,California,US,Direct,
NB-5025,5025,2025-12-12 21:03:40,CUST-1141,peter.wright@hotmail.com,paid,fulfilled,USD,135.36,,0.0,0,12.97,148.33,Credit Card,Portland,Oregon,US,Instagram Ads,
NB-5437,5437,2025-12-12 23:31:34,CUST-1127,amangreen@outlook.com,paid,fulfilled,USD,223.94,,0,0,16.68,240.62,PayPal,Pune,Maharashtra,IN,Organic Search,
NB-5224,5224,2025-12-13 08:23:34,CUST-1111,meghathakur@hotmail.com,paid,fulfilled,USD,255.15,COFFEE15,38.27,0,19.39,236.27,Credit Card,Toronto,Ontario,CA,Referral,
NB-5076,5076,2025-12-13 11:38:56,CUST-1009,travis.white@hotmail.com,paid,fulfilled,USD,64.46,LOYALTY5,3.22,0,5.02,66.26,Credit Card,Phoenix,Arizona,US,Email Campaign,
NB-5105,5105,2025-12-13 13:05:29,CUST-1139,riley.taylor@yahoo.com,paid,fulfilled,USD,230.61,NEWBREW20,46.12,0,15.12,199.61,Google Pay,Phoenix,Arizona,US,Referral,
